id,name,slug,type,name_with_type,code,parent_code,path,path_with_type
1001,Quảng Bình,quang-binh,tinh,Tỉnh Quảng Bình,44,0,,
1002,Minh Hóa,minh-hoa,huyen,Huyện Minh Hóa,452,44,"Minh Hóa, Quảng Bình","Huyện Minh Hóa, Tỉnh Quảng Bình"
1003,Quy Hóa,quy-hoa,xa,Xã Quy Hóa,18940,452,"Quy Hóa, Minh Hóa, Quảng Bình","Xã Quy Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1004,Yên Hóa,yen-hoa,xa,Xã Yên Hóa,18928,452,"Yên Hóa, Minh Hóa, Quảng Bình","Xã Yên Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1005,Trọng Hóa,trong-hoa,xa,Xã Trọng Hóa,18907,452,"Trọng Hóa, Minh Hóa, Quảng Bình","Xã Trọng Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1006,Hóa Tiến,hoa-tien,xa,Xã Hóa Tiến,18919,452,"Hóa Tiến, Minh Hóa, Quảng Bình","Xã Hóa Tiến, Huyện Minh Hóa, Tỉnh Quảng Bình"
1007,Hồng Hóa,hong-hoa,xa,Xã Hồng Hóa,18913,452,"Hồng Hóa, Minh Hóa, Quảng Bình","Xã Hồng Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1008,Thượng Hóa,thuong-hoa,xa,Xã Thượng Hóa,18946,452,"Thượng Hóa, Minh Hóa, Quảng Bình","Xã Thượng Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1009,Xuân Hóa,xuan-hoa,xa,Xã Xuân Hóa,18925,452,"Xuân Hóa, Minh Hóa, Quảng Bình","Xã Xuân Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1010,Dân Hóa,dan-hoa,xa,Xã Dân Hóa,18904,452,"Dân Hóa, Minh Hóa, Quảng Bình","Xã Dân Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1011,Hóa Sơn,hoa-son,xa,Xã Hóa Sơn,18937,452,"Hóa Sơn, Minh Hóa, Quảng Bình","Xã Hóa Sơn, Huyện Minh Hóa, Tỉnh Quảng Bình"
1012,Hóa Thanh,hoa-thanh,xa,Xã Hóa Thanh,18916,452,"Hóa Thanh, Minh Hóa, Quảng Bình","Xã Hóa Thanh, Huyện Minh Hóa, Tỉnh Quảng Bình"
1013,Minh Hóa,minh-hoa,xa,Xã Minh Hóa,18931,452,"Minh Hóa, Minh Hóa, Quảng Bình","Xã Minh Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1014,Hóa Phúc,hoa-phuc,xa,Xã Hóa Phúc,18910,452,"Hóa Phúc, Minh Hóa, Quảng Bình","Xã Hóa Phúc, Huyện Minh Hóa, Tỉnh Quảng Bình"
1015,Trung Hóa,trung-hoa,xa,Xã Trung Hóa,18943,452,"Trung Hóa, Minh Hóa, Quảng Bình","Xã Trung Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1016,Hóa Hợp,hoa-hop,xa,Xã Hóa Hợp,18922,452,"Hóa Hợp, Minh Hóa, Quảng Bình","Xã Hóa Hợp, Huyện Minh Hóa, Tỉnh Quảng Bình"
1017,Quy Đạt,quy-dat,thi-tran,Thị trấn Quy Đạt,18901,452,"Quy Đạt, Minh Hóa, Quảng Bình","Thị trấn Quy Đạt, Huyện Minh Hóa, Tỉnh Quảng Bình"
1018,Tân Hóa,tan-hoa,xa,Xã Tân Hóa,18934,452,"Tân Hóa, Minh Hóa, Quảng Bình","Xã Tân Hóa, Huyện Minh Hóa, Tỉnh Quảng Bình"
1019,Tuyên Hóa,tuyen-hoa,huyen,Huyện Tuyên Hóa,453,44,"Tuyên Hóa, Quảng Bình","Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1020,Nam Hóa,nam-hoa,xa,Xã Nam Hóa,18982,453,"Nam Hóa, Tuyên Hóa, Quảng Bình","Xã Nam Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1021,Thanh Thạch,thanh-thach,xa,Xã Thanh Thạch,18961,453,"Thanh Thạch, Tuyên Hóa, Quảng Bình","Xã Thanh Thạch, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1022,Mai Hóa,mai-hoa,xa,Xã Mai Hóa,18994,453,"Mai Hóa, Tuyên Hóa, Quảng Bình","Xã Mai Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1023,Sơn Hóa,son-hoa,xa,Xã Sơn Hóa,18973,453,"Sơn Hóa, Tuyên Hóa, Quảng Bình","Xã Sơn Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1024,Hương Hóa,huong-hoa,xa,Xã Hương Hóa,18952,453,"Hương Hóa, Tuyên Hóa, Quảng Bình","Xã Hương Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1025,Thạch Hóa,thach-hoa,xa,Xã Thạch Hóa,18985,453,"Thạch Hóa, Tuyên Hóa, Quảng Bình","Xã Thạch Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1026,Văn Hóa,van-hoa,xa,Xã Văn Hóa,19006,453,"Văn Hóa, Tuyên Hóa, Quảng Bình","Xã Văn Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1027,Châu Hóa,chau-hoa,xa,Xã Châu Hóa,19000,453,"Châu Hóa, Tuyên Hóa, Quảng Bình","Xã Châu Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1028,Phong Hóa,phong-hoa,xa,Xã Phong Hóa,18991,453,"Phong Hóa, Tuyên Hóa, Quảng Bình","Xã Phong Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1029,Cao Quảng,cao-quang,xa,Xã Cao Quảng,19003,453,"Cao Quảng, Tuyên Hóa, Quảng Bình","Xã Cao Quảng, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1030,Lê Hóa,le-hoa,xa,Xã Lê Hóa,18970,453,"Lê Hóa, Tuyên Hóa, Quảng Bình","Xã Lê Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1031,Ngư Hóa,ngu-hoa,xa,Xã Ngư Hóa,18979,453,"Ngư Hóa, Tuyên Hóa, Quảng Bình","Xã Ngư Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1032,Thanh Hóa,thanh-hoa,xa,Xã Thanh Hóa,18958,453,"Thanh Hóa, Tuyên Hóa, Quảng Bình","Xã Thanh Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1033,Đồng Lê,dong-le,thi-tran,Thị trấn Đồng Lê,18949,453,"Đồng Lê, Tuyên Hóa, Quảng Bình","Thị trấn Đồng Lê, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1034,Thuận Hóa,thuan-hoa,xa,Xã Thuận Hóa,18964,453,"Thuận Hóa, Tuyên Hóa, Quảng Bình","Xã Thuận Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1035,Tiến Hóa,tien-hoa,xa,Xã Tiến Hóa,18997,453,"Tiến Hóa, Tuyên Hóa, Quảng Bình","Xã Tiến Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1036,Đồng Hóa,dong-hoa,xa,Xã Đồng Hóa,18976,453,"Đồng Hóa, Tuyên Hóa, Quảng Bình","Xã Đồng Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
1037,Kim Hóa,kim-hoa,xa,Xã Kim Hóa,18955,453,"Kim Hóa, Tuyên Hóa, Quảng Bình","Xã Kim Hóa, Huyện Tuyên Hóa, Tỉnh Quảng Bình"
